,open,close,high,low,volume,money
2018-05-24,5995.2,5966.8,6008.0,5950.2,8614.0,10301327280.0
2018-05-25,5961.2,5874.8,5966.6,5863.4,9843.0,11633689320.0
2018-05-28,5883.6,5878.4,5928.4,5836.4,9884.0,11618982000.0
2018-05-29,5871.0,5794.4,5908.8,5791.0,10724.0,12554858000.0
2018-05-30,5743.2,5653.2,5748.8,5645.0,12024.0,13716746520.0
2018-05-31,5698.0,5738.0,5749.6,5652.0,10843.0,12374508400.0
2018-06-01,5717.8,5664.0,5729.6,5621.2,9966.0,11318006360.0
2018-06-04,5682.0,5671.0,5693.8,5628.8,9799.0,11102902840.0
2018-06-05,5672.4,5770.2,5774.6,5672.4,10344.0,11834524280.0
2018-06-06,5773.2,5765.6,5773.2,5725.8,8861.0,10191363640.0
2018-06-07,5779.8,5732.0,5799.0,5707.0,9629.0,11059810200.0
2018-06-08,5721.8,5658.6,5726.8,5608.4,10768.0,12181089840.0
2018-06-11,5645.0,5639.2,5678.8,5588.0,11261.0,12703608280.0
2018-06-12,5642.4,5686.8,5704.8,5592.6,12016.0,13594708120.0
2018-06-13,5673.4,5603.0,5684.8,5598.8,10973.0,12394238520.0
2018-06-14,5579.6,5594.0,5657.4,5570.2,9388.0,10530634200.0
2018-06-15,5542.4,5436.6,5562.8,5298.2,12403.0,13543829160.0
2018-06-19,5359.6,5057.8,5359.8,4952.2,13418.0,13949292600.0
2018-06-20,5050.0,5142.2,5188.0,5028.0,12454.0,12715500760.0
2018-06-21,5155.0,5010.0,5199.0,4995.6,13828.0,14090286120.0
2018-06-22,4989.0,5110.8,5127.0,4964.2,13724.0,13902602960.0
2018-06-25,5138.6,5028.8,5158.8,5028.8,11600.0,11837441400.0
2018-06-26,5015.0,5095.0,5138.2,5001.8,13682.0,13890231280.0
2018-06-27,5099.0,5001.0,5154.2,4996.2,14010.0,14241527600.0
2018-06-28,5011.2,5007.2,5119.6,4982.4,13275.0,13424551360.0
2018-06-29,5030.0,5185.4,5205.2,5002.2,14201.0,14526413200.0
2018-07-02,5176.6,5100.0,5225.0,5037.0,14354.0,14754055600.0
2018-07-03,5116.2,5144.0,5180.6,4992.0,15603.0,15902013080.0
2018-07-04,5131.0,5085.4,5150.0,5043.0,13396.0,13641164240.0
2018-07-05,5065.2,4920.2,5091.4,4919.6,15688.0,15735446000.0
2018-07-06,4941.6,4948.0,5047.6,4852.0,17594.0,17462831200.0
2018-07-09,4991.6,5088.0,5091.0,4988.0,12790.0,12901927840.0
2018-07-10,5098.6,5115.0,5124.8,5051.2,12007.0,12222068720.0
2018-07-11,5003.8,5008.8,5048.8,4919.0,15491.0,15449708360.0
2018-07-12,5018.0,5178.4,5190.8,5017.8,15754.0,16153001720.0
2018-07-13,5178.4,5191.0,5209.4,5152.0,10698.0,11086018560.0
2018-07-16,5197.2,5199.2,5220.8,5152.0,11888.0,12317894880.0
2018-07-17,5199.0,5184.4,5203.0,5116.4,13293.0,13724939720.0
2018-07-18,5209.8,5159.2,5232.0,5150.0,12391.0,12859687280.0
2018-07-19,5063.6,5021.0,5100.0,4991.0,2324.0,2340337240.0
2018-07-20,5005.6,5107.6,5125.0,4982.6,2722.0,2754062880.0
2018-07-23,5080.0,5163.8,5175.0,5070.0,2322.0,2378692840.0
2018-07-24,5163.8,5267.2,5301.2,5163.8,3165.0,3322779200.0
2018-07-25,5275.8,5272.8,5310.8,5255.2,1651.0,1742504280.0
2018-07-26,5268.0,5238.0,5284.2,5214.2,1601.0,1679067400.0
2018-07-27,5248.6,5206.8,5253.8,5179.0,1395.0,1455976000.0
2018-07-30,5201.4,5117.0,5221.0,5112.2,1672.0,1726449920.0
2018-07-31,5123.4,5126.4,5178.6,5104.8,1395.0,1433610440.0
2018-08-01,5160.0,5029.2,5210.6,5017.8,2104.0,2155012520.0
2018-08-02,5035.2,4903.6,5035.2,4801.2,3128.0,3066963360.0
2018-08-03,4907.4,4836.6,4950.0,4833.8,2599.0,2540040760.0
2018-08-06,4841.4,4760.8,4875.0,4722.0,2945.0,2822511760.0
2018-08-07,4794.2,4892.0,4908.6,4726.2,3057.0,2946555320.0
2018-08-08,4883.0,4811.4,4885.6,4789.8,2029.0,1963677240.0
2018-08-09,4793.6,4944.2,4993.6,4793.6,3395.0,3344203560.0
2018-08-10,4945.0,4975.6,4988.4,4929.0,2176.0,2157698720.0
2018-08-13,4964.8,5006.0,5032.8,4891.2,4076.0,4040158280.0
2018-08-14,5006.0,4995.8,5010.4,4956.6,4991.0,4972031720.0
2018-08-15,4992.4,4878.0,4992.6,4847.4,8429.0,8274950360.0
2018-08-16,4813.0,4820.4,4905.0,4771.6,12295.0,11920113000.0
2018-08-17,4879.0,4738.0,4896.6,4701.0,14459.0,13905582080.0
2018-08-20,4746.0,4783.6,4797.0,4684.6,15399.0,14607381320.0
2018-08-21,4788.8,4825.0,4876.0,4760.2,14917.0,14387556200.0
2018-08-22,4817.2,4806.0,4829.0,4772.8,12547.0,12042387440.0
2018-08-23,4799.6,4826.2,4859.2,4745.8,17385.0,16736790680.0
2018-08-24,4810.2,4809.4,4847.0,4775.2,13512.0,12996230680.0
2018-08-27,4835.6,4931.4,4947.0,4820.2,14100.0,13809998800.0
2018-08-28,4942.8,4936.8,4957.4,4910.0,10748.0,10604588120.0
2018-08-29,4934.6,4918.2,4937.6,4883.0,11076.0,10869960720.0
2018-08-30,4918.0,4846.0,4923.2,4826.4,12858.0,12498681200.0
2018-08-31,4822.0,4783.4,4836.6,4757.0,13960.0,13396103120.0
2018-09-03,4767.0,4819.6,4822.8,4715.4,13878.0,13227402000.0
2018-09-04,4814.6,4857.6,4895.2,4798.2,13815.0,13379404600.0
2018-09-05,4850.0,4785.0,4867.2,4781.2,12599.0,12164087360.0
2018-09-06,4775.4,4767.8,4837.6,4740.0,13886.0,13310028080.0
2018-09-07,4788.0,4765.0,4865.0,4720.2,16556.0,15865601360.0
2018-09-10,4760.0,4684.2,4770.8,4673.0,13075.0,12325591080.0
2018-09-11,4687.2,4694.4,4735.0,4653.8,13708.0,12850116760.0
2018-09-12,4694.4,4675.0,4728.4,4656.2,14078.0,13208840800.0
2018-09-13,4726.8,4718.0,4769.0,4636.8,16472.0,15482451680.0
2018-09-14,4722.6,4654.4,4726.4,4653.4,13491.0,12639306880.0
2018-09-17,4633.4,4602.8,4634.2,4574.2,13249.0,12197505040.0
2018-09-18,4588.6,4679.4,4698.4,4581.6,17179.0,15913443880.0
2018-09-19,4679.0,4734.4,4783.2,4667.0,15449.0,14591980800.0
2018-09-20,4737.4,4743.6,4774.8,4730.8,9068.0,8610848080.0
2018-09-21,4729.2,4827.8,4829.2,4700.2,15878.0,15120247160.0
2018-09-25,4786.0,4793.2,4813.0,4753.2,11759.0,11246205800.0
2018-09-26,4805.0,4800.0,4851.6,4767.6,14400.0,13844598240.0
2018-09-27,4802.4,4764.6,4818.0,4746.2,11455.0,10952464400.0
2018-09-28,4772.2,4820.4,4827.0,4733.6,13211.0,12630536120.0
2018-10-08,4722.0,4654.8,4741.6,4640.4,12383.0,11620678080.0
2018-10-09,4664.2,4624.8,4690.0,4606.2,12130.0,11266344240.0
2018-10-10,4631.2,4639.2,4670.0,4578.2,13905.0,12883231480.0
2018-10-11,4499.0,4258.2,4506.0,4243.0,17959.0,15790080400.0
2018-10-12,4281.6,4267.2,4303.8,4135.0,18588.0,15744947280.0
2018-10-15,4273.0,4178.4,4324.8,4171.0,16255.0,13823223120.0
2018-10-16,4185.2,4100.4,4219.8,4067.2,16173.0,13410109280.0
2018-10-17,4109.2,4064.0,4114.0,3970.0,4221.0,3419350680.0
2018-10-18,4048.0,3963.8,4049.0,3956.6,3802.0,3044380760.0
2018-10-19,3923.0,4057.8,4088.8,3916.6,4209.0,3362342880.0
2018-10-22,4102.2,4298.0,4348.0,4102.2,5185.0,4412493040.0
2018-10-23,4298.0,4191.0,4327.4,4156.8,3874.0,3284399840.0
2018-10-24,4191.0,4184.0,4262.6,4155.0,3874.0,3255646720.0
2018-10-25,4053.0,4204.4,4205.4,4050.4,4278.0,3515476320.0
